,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
0,52.3631,4.8808,Leidsebosje,3,4,Morning
1,52.3637,4.8822,Leidseplein,3,4,Morning
2,52.3687,4.8772,Appeltjesmarkt,3,4,Morning
3,52.3631,4.8808,Leidsebosje,3,4,Afternoon
4,52.3637,4.8822,Leidseplein,3,4,Afternoon
5,52.3687,4.8772,Appeltjesmarkt,3,4,Afternoon
6,52.3631,4.8808,Leidsebosje,3,4,Evening
7,52.3637,4.8822,Leidseplein,3,4,Evening
8,52.3687,4.8772,Appeltjesmarkt,3,4,Evening
9,52.3631,4.8808,Leidsebosje,3,4,Night
10,52.3637,4.8822,Leidseplein,3,4,Night
11,52.3687,4.8772,Appeltjesmarkt,3,4,Night
12,52.3631,4.8808,Leidsebosje,4,4,Morning
13,52.3637,4.8822,Leidseplein,4,4,Morning
14,52.3687,4.8772,Appeltjesmarkt,4,4,Morning
15,52.3713,4.87531,Groenmarkt,4,4,Morning
16,52.3631,4.8808,Leidsebosje,4,4,Afternoon
17,52.3637,4.8822,Leidseplein,4,4,Afternoon
18,52.3687,4.8772,Appeltjesmarkt,4,4,Afternoon
19,52.3713,4.87531,Groenmarkt,4,4,Afternoon
20,52.3631,4.8808,Leidsebosje,4,4,Evening
21,52.3637,4.8822,Leidseplein,4,4,Evening
22,52.3687,4.8772,Appeltjesmarkt,4,4,Evening
23,52.3713,4.87531,Groenmarkt,4,4,Evening
24,52.3631,4.8808,Leidsebosje,4,4,Night
25,52.3637,4.8822,Leidseplein,4,4,Night
26,52.3687,4.8772,Appeltjesmarkt,4,4,Night
27,52.3713,4.87531,Groenmarkt,4,4,Night
28,52.3631,4.8808,Leidsebosje,5,4,Morning
29,52.3637,4.8822,Leidseplein,5,4,Morning
30,52.3687,4.8772,Appeltjesmarkt,5,4,Morning
31,52.3713,4.87531,Groenmarkt,5,4,Morning
32,52.3628595,4.8833056,Max Euweplein,5,4,Morning
33,52.3631,4.8808,Leidsebosje,5,4,Afternoon
34,52.3637,4.8822,Leidseplein,5,4,Afternoon
35,52.3687,4.8772,Appeltjesmarkt,5,4,Afternoon
36,52.3713,4.87531,Groenmarkt,5,4,Afternoon
37,52.3628595,4.8833056,Max Euweplein,5,4,Afternoon
38,52.3631,4.8808,Leidsebosje,5,4,Evening
39,52.3637,4.8822,Leidseplein,5,4,Evening
40,52.3687,4.8772,Appeltjesmarkt,5,4,Evening
41,52.3713,4.87531,Groenmarkt,5,4,Evening
42,52.3628595,4.8833056,Max Euweplein,5,4,Evening
43,52.3631,4.8808,Leidsebosje,5,4,Night
44,52.3637,4.8822,Leidseplein,5,4,Night
45,52.3687,4.8772,Appeltjesmarkt,5,4,Night
46,52.3713,4.87531,Groenmarkt,5,4,Night
47,52.3628595,4.8833056,Max Euweplein,5,4,Night
