oude_naam,code
Burgwallen Oude Zijde,A00
Burgwallen Nieuwe Zijde,A01
Grachtengordel West,A02
Grachtengordel Zuid,A03
Nieuwmarkt/Lastage,A04
Haarlemmerbuurt,A05
Jordaan,A06
De Weteringschans,A07
Weesperbuurt/Plantage,A08
Oostelijke Eilanden/Kadijken,A09
Westelijk Havengebied,B10
Houthavens,E12
Spaarndammer- en Zeeheldenbuurt,E13
Staatsliedenbuurt,E14
Centrale Markt,E15
Frederik Hendrikbuurt,E16
Da Costabuurt,E17
Kinkerbuurt,E18
Van Lennepbuurt,E19
Helmersbuurt,E20
Overtoomse Sluis,E21
Vondelbuurt,E22
Sloterdijk,E36
Landlust,E37
Erasmuspark,E38
De Kolenkit,E39
Geuzenbuurt,E40
Van Galenbuurt,E41
Hoofdweg e.o.,E42
Westindische Buurt,E43
Chassébuurt,E75
Bedrijventerrein Sloterdijk,F11
Slotermeer Noordoost,F76
Slotermeer Zuidwest,F77
Geuzenveld,F78
Eendracht,F79
Lutkemeer/Ookmeer,F80
Osdorp Oost,F81
Osdorp Midden,F82
De Punt,F83
Middelveldsche Akerpolder,F84
Slotervaart Noord,F85
Overtoomse Veld,F86
Westlandgracht,F87
Sloter-/Riekerpolder,F88
Slotervaart Zuid,F89
Zuidas,K23
Oude Pijp,K24
Nieuwe Pijp,K25
Zuid Pijp,K26
Hoofddorppleinbuurt,K44
Schinkelbuurt,K45
Willemspark,K46
Museumkwartier,K47
Stadionbuurt,K48
Apollobuurt,K49
Scheldebuurt,K52
IJselbuurt,K53
Rijnbuurt,K54
Prinses Irenebuurt e.o.,K59
Buitenveldert West,K90
Buitenveldert Oost,K91
Weesperzijde,M27
Oosterparkbuurt,M28
Dapperbuurt,M29
Transvaalbuurt,M30
Indische Buurt West,M31
Indische Buurt Oost,M32
Oostelijk Havengebied,M33
Zeeburgereiland/Nieuwe Diep,M34
IJburg West,M35
IJburg Oost,M50
IJburg Zuid,M51
Frankendael,M55
Middenmeer,M56
Betondorp,M57
Omval/Overamstel,M58
Volewijck,N60
IJplein/Vogelbuurt,N61
Tuindorp Nieuwendam,N62
Tuindorp Buiksloot,N63
Nieuwendammerdijk/Buiksloterdijk,N64
Tuindorp Oostzaan,N65
Oostzanerwerf,N66
Kadoelen,N67
Waterlandpleinbuurt,N68
Buikslotermeer,N69
Banne Buiksloot,N70
Noordelijke IJ-oevers Oost,N71
Noordelijke IJ-oevers West,N72
Waterland,N73
Elzenhagen,N74
Amstel III/Bullewijk,T92
"Bijlmer Centrum (D,F,H)",T93
"Bijlmer Oost (E,G,K)",T94
Nellestein,T95
Holendrecht/Reigersbos,T96
Gein,T97
Driemond,T98
